"scuba diving, cultural festivals, horseback riding","Trincomalee, Kandy, Pigeon Island, Nuwara Eliya, Nallur Kandaswamy Devasthanam"
"whale watching, sea cruises, traditional ceremonies","Negombo Lagoon, Trincomalee Harbour, Nallur Kandaswamy Kovil, Colombo Port City, Sri Dalada Maligawa"
"camping, architecture photography, photography","Velgam Vehera Buddhist Temple, Sinharaja Forest Reserve, Dambulla Royal Cave Temple and Golden Temple, Vaddha Village Camping, Ella"
"caving, cultural experiences, history tours","Anuradhapura, Sigiriya, Belilena Caves, Wavulpone Cave, Mahalenama Cave"
"tea tasting, bird watching, city tours","Kumana National Park, Bundala National Park, Kandy, Sinharaja Forest Reserve, Horton Plains National Park"
"horse shows, snorkeling, photography","Nilaveli Beach, Hikkaduwa Beach, Kandy, Unawatuna Beach, Ella"
"themed parks, botanical gardens, hot springs","Kanniya Hot Springs, Hakgala Botanical Garden, Seethawaka Wet Zone Botanical Gardens, Jungle Beach, Royal Botanical Gardens, Peradeniya"
"outdoor adventures, theater, historical monuments","Polonnaruwa, Kitulgala, Anuradhapura, Nelung Arts Centre, Riverstone Gap"
"tea tasting, literary tours, cultural festivals","Martin Wickramasinghe Folk Museum, Nallur Kandaswamy Devasthanam, Jaffna Public Library, Nuwara Eliya, Kandy"
"amusement parks, cycling, hot air ballooning","Colombo Port City, Hatton, Leisure World, Excel World, Kandalama"
"beachfront dining, horse shows, spiritual retreats","Nuwara Eliya, Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Ruhunu Maha Kataragama Dewalaya"
"sea cruises, public art installations, safaris","Kumana National Park, Colombo Port City, Mirissa Beach, Negombo Lagoon, Kandy"
"mountain biking, paddleboarding, art classes","Unawatuna Beach, Colombo, Knuckles, Galle, Bentota River"
"snorkeling, beach visits, animal encounters","Arugam Bay Beach, Kanneliya National Rain Forest Reserve, Pigeon Island, Uppuveli Beach, Jungle beach"
"outdoor adventures, museum visits, cultural festivals","Maritime Museum, Pigeon Island, Dutch Museum, Ratnapura Gem Museum, Hikkaduwa Coral Sanctuary"
"surfing, hiking, wildlife viewing","Hikkaduwa Beach, Mirissa Beach, Yala National Park, Wasgamuwa National Park, Ahangama"
"museum visits, paddleboarding, hot air ballooning","Unawatuna Beach, Dutch Museum, Negambo, Bentota River, National Museum Galle"
"historic sites, wildlife viewing, whale watching","Polonnaruwa Ancient City, Yala National Park, Wasgamuwa National Park, Mirissa Beach, Trincomalee"
"safaris, public art installations, sea cruises","Minneriya National Park, Trincomalee Harbour, Kandy, Yala National Park, Colombo"
"kayaking, boat safaris, craft workshops","Kalpitiya Lagoon, Ambalangoda Mask Workshop, Bentota River, Madu River, Bentota"
"public art installations, safaris, waterfalls","Dunhinda Waterfall, Yala National Park, Kumana National Park, Bopath Falls, Bomburu Ella Waterfall"
"horse shows, boat safaris, craft workshops","Bentota, Ambalangoda Mask Workshop, Nuwara Eliya, Kandy, Bentota River"
"beach visits, bird watching, tea tasting","Bundala National Park, Uppuveli Beach, Sinharaja Forest Reserve, Nilaveli Beach, Marakolliya Beach"
"beachfront dining, snorkeling, horse shows","Nilaveli Beach, Mirissa Beach, Pigeon Island, Kandy, Nuwara Eliya"
"public art installations, yoga retreats, historic walks","Hiriketiya, Colombo, Galle, Kandy, Kandy Lake"
"traditional ceremonies, beachfront dining, whale watching","Nallur Kandaswamy Kovil, Galle, Hikkaduwa, Trincomalee, Sri Dalada Maligawa"
"craft workshops, temple pilgrimages, photography","Ella, Mihintale, Yala National Park, Horton Plains National Park, Bentota"
"hot air ballooning, arts and culture, amusement parks","Perl Bay, Leisure World, Museum of Modern and Contemporary Art, Excel World, Nelung Arts Centre"
"cultural festivals, caving, architecture photography","Belilena Caves, Nallur Kandaswamy Devasthanam, Batatotalena (Batadombalena) Cave, Sigiriya, Wavulpone Cave"
"rock climbing, historic walks, beachfront dining","Galle, Yapahuwa Rock Fortress, Surathali Ella, Polonaruwa, Kandy Lake"
"traditional ceremonies, animal encounters, sailing","Trincomalee Harbour, Yala National Park, Negombo Lagoon, Sri Dalada Maligawa, Pinnawala Elephant Orphanage"
"paddleboarding, rock climbing, theater","Nelung Arts Centre, Surathali Ella, Negambo, Knuckles, Nelum Pokuna Theatre"
"fishing, golfing, sea cruises","Hikkaduwa, Weligama Beach, Royal Colombo Golf Club, Nuwara Eliya Golf Club, Trincomalee"
"hiking, turtle watching, traditional ceremonies","Nallur Kandaswamy Kovil, Hikkaduwa, Sri Dalada Maligawa, Horton Plains National Park, Kosgoda Turtle Hatchery"
"craft workshops, art classes, kayaking","Ambalangoda Mask Workshop, Colombo, Galle, Colombo Port City, Bentota"
"cultural experiences, whale watching, beach visits","Mihintale, Mirissa Beach, Trincomalee, Tangalle Beach, Dambulla Royal Cave Temple and Golden Temple"
"sea cruises, landscape photography, historic sites","Colombo Port City, Horton Plains, Trincomalee Harbour, Anuradhapura, Galle Dutch Fort"
"horse shows, mountain biking, themed parks","Jungle Beach, Kandy, Knuckles, Viharamahadevi Park, Hatton"
"caving, theater, archaeological sites","Belilena Caves, Nelung Arts Centre, Polonaruwa, Ritigala, Sigiriya"
"botanical gardens, archaeological sites, craft workshops","Batadombalena Craft Centre, Dry Zone Botanic Gardens, Hambantota, Royal Botanical Gardens, Peradeniya, Ambalangoda Mask Workshop, Hakgala Botanical Garden"
"water parks, beachfront dining, literary tours","Leisure World, Galle, Pearl Bay, Martin Wickramasinghe Folk Museum, Water World Lanka"
"village homestays, outdoor adventures, river cruises","Ella, Riverstone Gap, Bentota River, Haputale, Hikkaduwa Coral Sanctuary"
"safaris, yoga retreats, tea tasting","Yala National Park, Nuwara Eliya, Minneriya National Park, Kumana National Park, Galle"
"bird watching, golfing, boat safaris","Madu River, Anawilundawa Wetlands, Bentota River, Bundala National Park, Nuwara Eliya Golf Club"
"beach visits, horseback riding, scuba diving","Jungle beach, Trincomalee, Dambulla, Haputale, Arugam Bay Beach"
"mountain biking, butterfly watching, bird watching","Bundala National Park, Kanneliya National Rain Forest Reserve, Hatton, Horton Plains National Park, Anawilundawa Wetlands"
"museum visits, botanical gardens, scuba diving","Folk Museum, Royal Botanical Gardens, Peradeniya, Hakgala Botanical Garden, Ratnapura Gem Museum, National Museum Galle"
"arts and culture, history tours, cultural festivals","Polonnaruwa Ancient City, National Gallery of Art, Jaffna Public Library, Nallur Kandaswamy Devasthanam, Kandy"
"animal encounters, scuba diving, village homestays","Pigeon Island, Ella, Elephant Transit Home, Hikkaduwa Coral Sanctuary, Udawalawe National Park"
"architecture tours, camping, local crafts","Belihuloya, Yala National Park, Vaddha Village Camping, Ambalangoda, Sigiriya"
"caving, planetarium visits, history tours","Sri Lanka Planetarium, Mahalenama Cave, Sigiriya, Ritigala, Belilena Caves"
"outdoor adventures, whale watching, elephant rides","Udawalawe, Mirissa Beach, Trincomalee, Riverstone Gap, Pinnawala"
"horse shows, architecture photography, public art installations","Sigiriya, Velgam Vehera Buddhist Temple, Ambuluwawa Tower, Nuwara Eliya, Colombo"
"ayurvedic spa treatments, cultural festivals, literary tours","Hikkaduwa, Nallur Kandaswamy Devasthanam, Martin Wickramasinghe Folk Museum, Jaffna Public Library, Kandy"
"sailing lessons, camping, sea cruises","Negombo Lagoon, Kitugala Forest, Negombo, Meemure, Knuckles"
"amusement parks, hot air ballooning, sailing lessons","Kandalama, Excel World, Perl Bay, Colombo Port City, Leisure World"
"sailing, hot springs, theater","Lionel Wendt Art Centre, Madunagala Hot Water Spring, Mahapelessa Hot Springs, Colombo Port City, Maha Oya Hot Water Springs"
"water parks, botanical gardens, mountain biking","Leisure World, Hakgala Botanical Garden, Pearl Bay, Water World Lanka, Seethawaka Wet Zone Botanical Gardens"
"camping, literary tours, sightseeing","Martin Wickramasinghe Folk Museum, Ella, Meemure, Kitugala Forest, Knuckles"
"landscape photography, literary tours, water parks","Leisure World, Jaffna Public Library, Water World Lanka, Pearl Bay, Horton Plains"
"photography, sailing, mountain biking","Sinharaja Forest Reserve, Nine Arches Bridge, Sigiriya, Ella, Negombo Lagoon"
"archaeological sites, whale watching, beachfront dining","Trincomalee, Polonaruwa, Unawatuna, Galle, Anuradhapura"
"horse shows, elephant rides, beach visits","Udawalawe, Arugam Bay Beach, Nuwara Eliya, Mirissa Beach, Uppuveli Beach"
"hiking, planetarium visits, theater","Sri Lanka Planetarium, Ella Rock, Nelum Pokuna Theatre, Lionel Wendt Art Centre, Horton Plains National Park"
"mountain biking, paddleboarding, safaris","Hatton, Kumana National Park, Yala National Park, Knuckles, Minneriya National Park"
"outdoor adventures, spiritual retreats, historic walks","Dambulla Royal Cave Temple and Golden Temple, Ruhunu Maha Kataragama Dewalaya, Sri Dalada Maligawa, Trincomalee, Galle Fort"
"literary tours, snorkeling, paddleboarding","Martin Wickramasinghe Folk Museum, Trincomalee, Nilaveli Beach, Bentota River, Mirissa Beach"
"photography, zip-lining, museum visits","Ratnapura Gem Museum, National Museum Galle, Dutch Museum, Nine Arches Bridge, Horton Plains National Park"
"cultural festivals, planetarium visits, cultural experiences","Sri Dalada Maligawa, Sri Lanka Planetarium, Kandy Temple, Dambulla Royal Cave Temple and Golden Temple, Arankelle Forest Monastery"
"yoga retreats, archaeological sites, tea tasting","Nuwara Eliya, Hiriketiya, Galle, Polonaruwa, Anuradhapura"
"camping, history tours, art classes","Galle, Kitugala Forest, Colombo, Horton Plains, Polonnaruwa Ancient City"
"zip-lining, city tours, outdoor adventures","Colombo City Tour, Hikkaduwa Coral Sanctuary, Ella, Pigeon Island, Kandy City Centre"
"yoga retreats, zip-lining, botanical gardens","Ella, Hiriketiya, Royal Botanical Gardens, Peradeniya, Seethawaka Wet Zone Botanical Gardens, Galle"
"hot air ballooning, historic sites, local crafts","Ambalangoda, Anuradhapura, Kandalama, Galle Dutch Fort, Kandy"
"museum visits, amusement parks, boat safaris","National Museum Galle, Colombo Port City, Dutch Museum, Leisure World, Madu River"
"city tours, spiritual retreats, beach visits","Galle City Tour, Hiriketiya Beach, Uppuveli Beach, Trincomalee, Ruhunu Maha Kataragama Dewalaya"
"hot air ballooning, mountain biking, history tours","Galle Dutch Fort, Polonnaruwa Ancient City, Dambulla, Sigiriya, Hatton"
"architecture tours, arts and culture, sightseeing","National Gallery of Art, Galle Lighthouse, Pidurangala Rock, Sigiriya, Ella"
"hot springs, public art installations, cycling","Kandy, Hatton, Madunagala Hot Water Spring, Ella, Kanniya Hot Springs"
"outdoor adventures, city tours, beach visits","Marakolliya Beach, Bentota Beach, Hikkaduwa Coral Sanctuary, Pigeon Island, Mirissa Beach"
"outdoor adventures, snorkeling, museum visits","Nilaveli Beach, Pigeon Island, Hikkaduwa Beach, National Museum Galle, Maritime Museum"
"sailing lessons, photography, yoga retreats","Yala National Park, Hiriketiya, Sigiriya, Negombo, Horton Plains National Park"
"arts and culture, historical monuments, village homestays","Nelung Arts Centre, Polonnaruwa, Anuradhapura, Jaffna Public Library, Gangaramaya Temple"
"temple pilgrimages, themed parks, fishing","Trincomalee, Mihintale, Viharamahadevi Park, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak"
"bird watching, hot springs, yoga retreats","Anawilundawa Wetlands, Maha Oya Hot Water Springs, Madunagala Hot Water Spring, Kanniya Hot Springs, Bundala National Park"
"caving, art classes, themed parks","Belilena Caves, Colombo, Batatotalena (Batadombalena) Cave, Galle, Ritigala"
"safaris, kayaking, whale watching","Wilpattu National Park, Unawatuna Lagoon, Colombo Port City, Mirissa Beach, Madu River"
"temple pilgrimages, horse shows, ayurvedic spa treatments","Nuwara Eliya, Kandy, Hikkaduwa, Bentota, Mihintale"
"architecture photography, sightseeing, scuba diving","Ella, Negombo, Pigeon Island, Galle Lighthouse, Pidurangala Rock"
"city tours, history tours, cultural experiences","Galle City Tour, Anuradhapura, Mihintale, Kandy City Centre, Sigiriya"
"horseback riding, landscape photography, planetarium visits","Haputale, Ella Gap, Sri Lanka Planetarium, Sigiriya, Nuwara Eliya"
"boat safaris, horseback riding, village homestays","Dambulla, Bentota River, Haputale, Ella, Nuwara Eliya"
"tea tasting, wildlife viewing, zip-lining","Kanneliya National Rain Forest Reserve, Yala National Park, Ella, Udawalawe National Park, Nuwara Eliya"
"ayurvedic spa treatments, fishing, historical monuments","Negombo Lagoon, Trincomalee, Hikkaduwa, Kalpitiya, Anuradhapura"
"bird watching, hot air ballooning, turtle watching","Pigeon Island, Sinharaja Forest Reserve, Anawilundawa Wetlands, Bundala National Park, Horton Plains National Park"
"cycling, architecture tours, hot springs","Galle Dutch Fort, Sigiriya, Ella, Mahapelessa Hot Springs, Kanniya Hot Springs"
"camping, planetarium visits, horseback riding","Meemure, Yala National Park, Haputale, Vaddha Village Camping, Nuwara Eliya"
"golfing, sea cruises, hiking","Nuwara Eliya Golf Club, Trincomalee Harbour, Royal Colombo Golf Club, Negombo Lagoon, Colombo Port City"
"beachfront dining, archaeological sites, cultural experiences","Arankelle Forest Monastery, Kandy Temple, Galle, Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple"
"amusement parks, craft workshops, ayurvedic spa treatments","Colombo Port City, Ambalangoda Mask Workshop, Hikkaduwa, Batadombalena Craft Centre, Excel World"
"animal encounters, theater, scuba diving","Elephant Transit Home, Pigeon Island, Kanneliya National Rain Forest Reserve, Nelung Arts Centre, Lionel Wendt Art Centre"
"water parks, sea cruises, yoga retreats","Galle, Pearl Bay, Negombo Lagoon, Leisure World, Colombo Port City"
"bird watching, theater, camping","Belihuloya, Meemure, Horton Plains, Nelum Pokuna Theatre, Vaddha Village Camping"
"historic walks, historic sites, historical monuments","Anuradapura, Sigiriya, Polonaruwa, Galle Fort, Mihintale"
"snorkeling, kayaking, craft workshops","Ahungalla, Nilaveli Beach, Hikkaduwa Beach, Unawatuna Beach, Unawatuna Lagoon"
"scuba diving, amusement parks, spiritual retreats","Kalpitiya, Leisure World, Dambulla Royal Cave Temple and Golden Temple, Seetha Eliya, Sri Pada / Adams Peak"
"theater, sea cruises, butterfly watching","Kanneliya National Rain Forest Reserve, Knuckles, Sinharaja Forest Reserve, Colombo Port City, Negombo Lagoon"
"scuba diving, ayurvedic spa treatments, cultural experiences","Trincomalee, Bentota, Mihintale, Kalpitiya, Pigeon Island"
"landscape photography, arts and culture, boat safaris","Sigiriya, Museum of Modern and Contemporary Art, Ella Gap, Jaffna Public Library, Gangaramaya Temple"
"tea tasting, surfing, architecture tours","Hikkaduwa Beach, Nuwara Eliya, Sigiriya, Ahangama, Weligama Beach (surf and stay)"
"golfing, fishing, cultural experiences","Anuradhapura, Royal Colombo Golf Club, Negombo Lagoon, Nuwara Eliya Golf Club, Sri Dalada Maligawa"
"mountain biking, river cruises, horseback riding","Dambulla, Madu River, Haputale, Nuwara Eliya, Bentota River"
"rock climbing, themed parks, sailing lessons","Negombo, Knuckles, Surathali Ella, Viharamahadevi Park, Jungle Beach"
"waterfalls, cultural festivals, archaeological sites","Diyaluma Falls, Bambarakanda Falls, Bopath Falls, Dunhinda Waterfall, Sigiriya"
"water parks, scuba diving, temple pilgrimages","Trincomalee, Dambulla Royal Cave Temple and Golden Temple, Jaya Sri Maha Bodhi, Pearl Bay, Leisure World"
"snorkeling, craft workshops, archaeological sites","Unawatuna Beach, Ambalangoda Mask Workshop, Nilaveli Beach, Hikkaduwa Beach, Anuradhapura"
"landscape photography, boat safaris, amusement parks","Sigiriya, Excel World, Madu River, Colombo Port City, Ella Gap"
"landscape photography, literary tours, art classes","Horton Plains, Ella Gap, Martin Wickramasinghe Folk Museum, Colombo, Jaffna Public Library"
